,close,date,high,low,open
0,81.89901,2023-06-19,82.00652,81.84699,81.88901
1,81.98902,2023-06-20,82.17404,81.88099,81.88099
2,81.93901,2023-06-21,82.12904,81.92099,81.96001
3,81.93901,2023-06-22,82.04652,81.85899,81.90099
4,81.96902,2023-06-23,82.06203,81.87799,81.93901
5,81.95901,2023-06-26,82.04903,81.91599,81.93401
6,81.95399,2023-06-27,82.03652,81.89499,81.95901
7,82,2023-06-28,82.06702,81.93098,81.97202
8,82.07097,2023-06-29,82.10903,81.94398,82
9,82.02097,2023-06-30,82.09003,81.96198,82.05903
10,82.36794,2023-07-05,82.39406,82.14296,82.19404
11,82.7289,2023-07-06,82.79311,82.25595,82.35394
12,82.59908,2023-07-07,82.7566,82.49493,82.7471
13,82.50907,2023-07-10,82.6711,82.49093,82.58608
14,82.38006,2023-07-11,82.58908,82.30795,82.57092
15,81.95098,2023-07-12,82.38406,81.91499,82.38406
16,82.02902,2023-07-13,82.13903,81.93599,81.96101
17,82.01997,2023-07-14,82.17154,81.90899,82.02902
18,82.01502,2023-07-17,82.20154,81.95699,82.01997
19,82.06903,2023-07-18,82.07603,81.94099,82.01502
20,82.02097,2023-07-19,82.14153,81.98098,82.04903
21,82.05903,2023-07-20,82.05903,81.87,82.02097
22,81.96902,2023-07-21,82.06702,81.88699,82.06702
23,81.777,2023-07-24,82.04153,81.74501,81.97598
24,81.86301,2023-07-25,81.88901,81.64102,81.795
25,81.92099,2023-07-26,82.03902,81.831,81.84499
26,82.12096,2023-07-27,82.21104,81.842,81.93901
27,82.21404,2023-07-28,82.34406,82.12096,82.13903
28,82.21095,2023-07-31,82.29905,82.16896,82.19595
29,82.30305,2023-08-01,82.33156,82.17096,82.21095
30,82.7131,2023-08-02,82.7711,82.28194,82.29594
31,82.7139,2023-08-03,82.81161,82.63591,82.7131
32,82.66209,2023-08-04,82.89912,82.62091,82.88088
33,82.7209,2023-08-07,82.7591,82.63191,82.64391
34,82.84512,2023-08-08,82.94512,82.7059,82.7391
35,82.82911,2023-08-09,82.85162,82.77789,82.84512
36,82.61008,2023-08-10,82.85411,82.53992,82.82911
37,82.83989,2023-08-11,82.87312,82.59191,82.59191
38,83.13114,2023-08-14,83.26616,82.83789,82.85611
39,83.39917,2023-08-15,83.42318,83.12386,83.16915
40,83.19915,2023-08-16,83.40417,83.05087,83.18285
41,83.13914,2023-08-17,83.20315,82.96587,83.17985
42,83.11185,2023-08-18,83.18715,82.98587,83.05614
43,83.07914,2023-08-21,83.18715,82.99313,83.13014
44,83.02913,2023-08-22,83.09514,82.86888,83.06086
45,82.49293,2023-08-23,83.07114,82.42393,83.02913
46,82.56108,2023-08-24,82.60509,82.33294,82.49293
47,82.62609,2023-08-25,82.69409,82.51492,82.56108
48,82.58908,2023-08-28,82.64659,82.50592,82.62609
49,82.54492,2023-08-29,82.8091,82.54292,82.58908
50,82.59608,2023-08-30,82.81161,82.51892,82.54492
51,82.6729,2023-08-31,82.7691,82.55392,82.59608
52,82.6599,2023-09-01,82.7541,82.55892,82.6729
53,82.70409,2023-09-04,82.77911,82.60491,82.61391
54,83.02213,2023-09-05,83.07914,82.66991,82.7071
55,83.21085,2023-09-06,83.22916,82.96088,83.00387
56,83.12086,2023-09-07,83.22916,83.05286,83.20715
57,82.97487,2023-09-08,83.21915,82.87589,83.13914
58,82.84689,2023-09-11,83.05914,82.7859,82.92912
59,82.84089,2023-09-12,83.03913,82.81089,82.86511
60,82.87012,2023-09-13,83.01813,82.80989,82.81489
61,83,2023-09-14,83.06213,82.85188,82.85188
62,83.06586,2023-09-15,83.17585,82.95087,82.99913
63,83.22916,2023-09-18,83.31516,83.05087,83.07186
64,83.29916,2023-09-19,83.32916,83.18085,83.22916
65,82.89088,2023-09-20,83.29916,82.88888,83.29916
66,83.08086,2023-09-21,83.19915,82.89088,82.89088
67,82.94087,2023-09-22,83.09914,82.7199,83.09114
68,83.10086,2023-09-25,83.15414,82.93913,82.99387
69,83.23016,2023-09-26,83.26516,83.05586,83.05586
70,83.14685,2023-09-27,83.28616,83.13285,83.23016
71,83.11714,2023-09-28,83.24516,83.08286,83.14685
72,83.04687,2023-09-29,83.17515,82.96587,83.15685
73,83.20915,2023-10-02,83.23916,83.00087,83.01913
74,83.20315,2023-10-03,83.23916,83.09286,83.17785
75,83.23916,2023-10-04,83.31116,83.13285,83.20315
76,83.17085,2023-10-05,83.27316,83.13985,83.23916
77,83.10714,2023-10-06,83.26166,83.08886,83.18985
78,83.24316,2023-10-09,83.31116,83.08986,83.08986
79,83.15115,2023-10-10,83.27316,83.12885,83.24316
80,83.15915,2023-10-11,83.25166,83.06086,83.13285
